model,mse,rmse,mae,r2
Random Forest,1.1947819479672632,1.0930608162253659,0.9297839018406755,-0.03551452151576129
Gradient Boosting,1.2012101015174999,1.0959973090831472,0.930125523966584,-0.04043155075581073
Neural Network,1.2819667115153495,1.1322396881912193,0.9025883542888774,-0.1160898532657505
